24.78709341572747 24.78709341572747
2.306877651280187180e+00 1.208440758718974450e+01 4.315648426481941691e+00
2.335516733841060066e+00 1.312916397651742351e+01 4.668274521069029070e+00
2.311258205863968573e+00 1.439740877051235124e+01 3.332547098007822228e+00
2.317726581335288305e+00 1.543502946313041058e+01 5.037564590104754103e+00
2.310919808913694862e+00 1.661129060705160043e+01 2.014609232153013352e+00
2.283915690688049338e+00 1.773788901605826496e+01 1.201893793570952385e+00
2.320962849744024670e+00 1.892040230312255389e+01 4.071497900397703651e-01
2.346788274398208696e+00 2.008119103247576476e+01 5.466138992562127541e+00
2.266545331298006172e+00 2.125841013635231747e+01 4.149688348197087429e+00
2.316542921639206831e+00 2.235054796652378073e+01 2.821034897853209156e+00
2.317111871798083644e+00 2.350228705950180341e+01 2.027300179873774422e+00
2.330749497382101154e+01 1.341277084106222972e+01 6.039916346617643761e+00
2.376160715603394635e+01 2.335381074450166139e+01 2.695210280104523459e+00
3.298804079468006023e+00 1.146918379650975650e+00 3.700250411537824302e+00
3.306437395928011558e+00 2.289718239437647185e+00 2.327118183531443840e+00
3.307111108848365788e+00 3.463362677458442285e+00 4.663697921254879475e+00
3.319074679857245247e+00 4.589173232421998705e+00 4.281373218812181136e+00
3.354006252609753602e+00 5.737598009677540745e+00 4.316446500796971009e+00
3.301665715481355790e+00 6.883489328719932132e+00 2.759467363424843445e+00
3.265190644867982162e+00 8.062671546333206152e+00 1.597623143379170996e+00
3.317264651245314777e+00 9.168063238273010285e+00 2.138576083357476509e+00
3.300685351744492735e+00 1.033232025344801031e+01 2.209749943550919582e+00
3.309716668465115141e+00 1.146283645985084476e+01 4.324228195036773137e+00
3.263800791943788582e+00 1.265032571992045618e+01 4.588211947805004520e+00
3.343264128770873089e+00 1.372337672827145738e+01 4.574222306829448748e+00
3.293187843415469995e+00 1.490693366451611013e+01 6.114134195430303897e+00
3.311976130384437056e+00 1.605180515925107443e+01 5.166109332759928341e-01
3.295159033294507545e+00 1.722014549236872227e+01 3.520991051855121512e+00
3.355460668058538598e+00 1.838900372729510835e+01 2.134900370042694284e+00
3.261428335800605538e+00 1.951237507223211765e+01 7.635770003775819159e-01
3.321795284642213186e+00 2.060483691201879353e+01 5.745564520430680666e+00
3.270971695686388792e+00 2.176840653405069048e+01 4.641867398253984867e+00
3.325249572292776179e+00 2.288241921632588216e+01 9.887060864731753718e-01
3.257384727980406236e+00 2.412079122653508634e+01 3.492150048323864997e+00
2.399077564485365599e+01 2.107079017111093577e+01 4.147536067173131613e+00
4.242525879994579974e+00 1.746755518336438051e+00 3.886473612398416044e+00
4.278581509703279551e+00 2.807799820817677983e+00 2.226499863129121071e+00
4.349633928372647063e+00 4.016648082329237646e+00 4.420366385395025688e+00
4.291417953997601842e+00 5.122563511589834029e+00 5.914315159437135705e+00
4.362777915186300426e+00 6.342338081290574969e+00 1.058371596766788381e+00
4.321175361600904097e+00 7.504376981957728177e+00 3.659869860444181500e-01
4.243964728433639699e+00 8.574186492955792716e+00 3.462896755357306233e+00
4.311335639700598854e+00 9.784242532119501234e+00 2.360569516416457070e+00
4.282973205961276619e+00 1.090097788338044893e+01 8.203687333528444370e-01
4.233318938958653632e+00 1.205227893638135228e+01 5.044986719778894013e+00
4.273981967527889836e+00 1.323882490958339808e+01 5.416462320678828490e+00
4.309700849550272217e+00 1.432387336398969602e+01 6.225874278475338031e+00
