27.712812921102035 27.712812921102035
1.126344871366203293e+01 1.697698625205586964e+01 6.061070418084808509e+00
1.100281535232259422e+01 1.903530437862920976e+01 5.768023925594985890e+00
1.142881475437464189e+01 2.099058782941843404e+01 3.403982728814348047e+00
1.110912306824129914e+01 2.256134591000824230e+01 2.637562511090582706e+00
1.099246997864119635e+01 2.505689185353464055e+01 4.831888759525956978e+00
1.110147751765698665e+01 2.680004370531358404e+01 8.997497462664818535e-01
1.910017647297297572e+01 1.327324664106751584e+01 4.754593969046891466e+00
2.543267285814269130e+01 1.625222595164219186e+01 1.667267806827933629e+00
1.262032219234356312e+01 2.558397064634926332e-01 1.048886845140571539e-01
1.265175704544712687e+01 2.008618912173470328e+00 4.869701492738577109e+00
1.284244421675044912e+01 3.999194400474242794e+00 5.579792887197229767e+00
1.274140544431192090e+01 5.952498952061122672e+00 1.327064459501145155e+00
1.268322079587449558e+01 7.810123597563084274e+00 5.640914410420180936e+00
1.276538373688815931e+01 9.938493095201536676e+00 3.818283129453926783e+00
1.237286472255862790e+01 1.175069023628793019e+01 3.533239066184730159e+00
1.270289549469848467e+01 1.399809055515871492e+01 7.288309503996168726e-01
1.265793845082303193e+01 1.592122945231862197e+01 2.131194582477855093e+00
1.261853934156508750e+01 1.802951671256636246e+01 5.499264612869161795e+00
1.291265638669941396e+01 2.019689865568344800e+01 4.754719402217398638e+00
1.236018680569699235e+01 2.165172592415515140e+01 4.037443365792280581e+00
1.267570093296923872e+01 2.419082971637492463e+01 1.386601206485638116e+00
1.254010372610306057e+01 2.588611908182335242e+01 5.471290870715205479e+00
5.111522509657389968e+00 1.302286294792537014e+01 5.638155920148893330e+00
1.229187929729926410e+01 1.905697084271814390e+01 6.033695176449833664e-01
1.448036745676178150e+01 1.059161595084338936e+00 1.359065057400237198e+00
1.406028500353508548e+01 3.271021957295148663e+00 5.300259106699473088e-01
1.488242218741917888e+01 5.080276992772343903e+00 3.999415911580928018e+00
1.443641570770249061e+01 6.995798149761919937e+00 5.507734309862169830e+00
